x,y
3.02,28.925716940276953
9.36,24.685975345897976
0.11,11.211712600833714
4.74,34.37659682484621
7.58,27.156732167372223
1.71,22.427712869584518
5.0,31.788149229533786
2.88,21.486067992117746
1.93,25.64095569469778
4.98,35.675845471324415
4.97,33.727037865151736
0.91,12.128064834146752
1.81,22.156165589014147
7.72,31.87547117153106
4.68,30.820433255337424
5.1,39.29239696273593
8.81,26.113899228
3.87,28.81362318776526
4.51,29.72672348873624
8.73,23.535757554847898
5.06,36.5699448705478
6.89,37.37376102065488
6.74,32.327560623389864
2.22,24.74652917268271
0.83,13.338453827935602
8.83,22.351234996807186
2.24,30.35715120842527
2.66,25.838590033616818
3.36,33.473757309863046
4.07,37.56796836918634
4.04,38.39281257381003
4.99,35.639289452813344
7.37,35.025061082277965
6.43,29.696547420289832
8.23,31.40414056630933
4.57,34.75764542648607
6.87,32.56019186409644
9.35,19.248444860225156
6.11,34.44696839392581
6.69,31.194057226329484
3.54,27.199114383630686
5.06,35.406568154499595
2.23,22.301851009097334
8.14,30.600883923439433
6.34,34.98444307848901
1.34,16.865403072247425
7.53,36.26981427380622
4.54,33.88694118999702
4.73,41.35183937679893
0.45,16.701044200146015
2.41,23.51572967129722
1.47,16.00356527279034
8.34,26.112370158364016
2.91,30.732196064472404
3.33,29.018957346198096
7.87,39.12613965601781
3.79,32.60381400077332
3.12,28.05802629386202
7.42,26.292040229519223
0.12,6.707940852157487
2.55,30.85247951526675
3.48,31.268190637020517
6.01,40.4137739146898
0.07,8.343930780150442
7.51,30.07263293538485
0.57,13.857917337570182
9.36,19.344737432265802
9.08,23.275107994409087
7.0,33.31077892690041
8.91,20.705244273595923
0.61,9.576827508716791
1.94,22.473504261915796
2.07,24.09798043591748
2.55,24.539375806705706
4.36,31.779173453278915
7.09,31.641143823594987
6.49,32.3177479213642
5.57,34.855484735378596
0.46,10.792638450311474
6.59,33.92648928581023
6.38,35.035257462218816
0.08,10.77952939009714
1.88,25.157322725812485
4.79,40.5348670785153
8.63,28.939817920850192
0.09,9.960249900342415
4.5,30.49045247081785
4.73,30.904509245893674
9.24,25.222458887061972
3.69,35.01348476889417
8.1,30.724810323535277
2.36,27.728881548619228
6.61,33.866852789448664
8.58,30.6098033141564
4.31,32.32998133279941
3.19,29.37999637755773
2.52,25.267846831907697
3.67,31.11512090214204
5.98,38.30033162872294
2.24,23.261772456972796
